round,accuracy,loss,stragglers,clients_used
1,0.4363,2.7348,0,5
2,0.4776,1.9708,0,5
3,0.4878,1.9198,0,5
4,0.5156,1.8712,0,5
5,0.5538,1.7789,0,5
6,0.5814,1.697,0,5
7,0.6187,1.5565,0,5
8,0.6368,1.4879,0,5
9,0.6561,1.4168,0,5
10,0.6601,1.3684,0,5
11,0.6948,1.2928,0,5
12,0.6978,1.2932,0,5
13,0.689,1.3122,0,5
14,0.7108,1.3039,0,5
15,0.692,1.3319,0,5
16,0.7194,1.2945,0,5
17,0.7127,1.3092,0,5
18,0.7112,1.3338,0,5
19,0.713,1.3462,0,5
20,0.7082,1.3688,0,5
21,0.715,1.3967,0,5
22,0.709,1.4115,0,5
23,0.7125,1.4077,0,5
24,0.6941,1.4482,0,5
25,0.6771,1.515,0,5
