round,accuracy,loss,stragglers,clients_used
1,0.2961,3.4477,0,10
2,0.3821,2.7479,0,10
3,0.3973,2.6168,0,10
4,0.4236,2.593,0,10
5,0.4413,2.5742,0,10
6,0.451,2.5382,0,10
7,0.4641,2.4848,0,10
8,0.4832,2.4507,0,10
9,0.4958,2.3835,0,10
10,0.5051,2.3438,0,10
11,0.51,2.309,0,10
12,0.524,2.2687,0,10
13,0.5375,2.2274,0,10
14,0.5435,2.2044,0,10
15,0.5452,2.2223,0,10
16,0.5488,2.2383,0,10
17,0.5547,2.2519,0,10
18,0.5481,2.273,0,10
19,0.5414,2.2714,0,10
20,0.5525,2.2915,0,10
21,0.5563,2.2901,0,10
22,0.5555,2.2987,0,10
23,0.5581,2.3086,0,10
24,0.5658,2.3087,0,10
25,0.551,2.3412,0,10
